Component Positions Report
--------------------------

Report File:    C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard (Component Positions).txt
Report Written: Thursday, December 08, 2016
Project Path:   C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard.prj
Design Path:    C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard.pcb
Design Title:
Created:        10/11/2016 10:51:27 a.m.
Last Saved:     08/12/2016 11:55:58 a.m.
Editing Time:   5161 min
Units:          mm (precision 3)

Name      Component                     Side                    Centre X    Centre Y  Rotation
----------------------------------------------------------------------------------------------
JC2       1P                            Top                       49.135      52.622      0.00
JC3       1P                            Top                       36.804      65.904      0.00
CON9      47589-0001                    Top                        3.675      80.651    270.00
DR7       150060YS75000                 Top                        3.813      14.011     90.00
CON5      503182-1852                   Bottom                    69.055      10.398    180.00
JBRX      826936-2                      Top                       32.334       4.375     90.00
JBTX      826936-2                      Top                       29.132       4.375     90.00
JCMOSI    826936-2                      Top                       47.645      33.190    270.00
JCSCK     826936-2                      Top                       50.815      33.190    270.00
JMISO     826936-2                      Top                       54.017      33.190    270.00
JPWR1     826936-2                      Top                       41.343      87.128      0.00
JPWR2     826936-2                      Top                       34.358      87.128      0.00
JPWR3     826936-2                      Top                       48.646      87.128      0.00
JR1       826936-2                      Top                       41.499      28.308     90.00
JR2       826936-2                      Top                       38.551      28.308     90.00
CON6      826949-5                      Top                       19.179       2.821      0.00
CON7      826949-5                      Bottom                    81.406      18.227     90.00
JD1       929800-01-02                  Top                       23.141      76.397      0.00
JG1       929800-01-02                  Top                       54.334      48.786    270.00
JG2       929800-01-02                  Top                       55.697      53.446      0.00
CON11     861400082LO1332LF             Top                       79.697      73.666    270.00
CON4      1010027182                    Bottom                    20.157      40.649     90.00
CON10     61300411121                   Top                       40.925       3.329      0.00
CON8      61300511121                   Top                        2.377      62.948    270.00
CR3       885012006002                  Top                       23.315      50.221     90.00
CB1       885012106003                  Bottom                    28.245      20.700    270.00
CPWR3     885012106003                  Top                       48.963      81.286      0.00
U6        A2235-H                       Top                       68.979      43.239      0.00
DPWR3     AP1608SGC                     Top                       21.785      83.381    270.00
DPWR1     APT1608EC                     Top                       53.408      87.252     90.00
U8        AZ1117IH-3.3TRG1              Top                       41.978      79.889    180.00
U4        BMI160                        Top                       49.713      20.812      0.00
