"Report File:","C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard (Bill Of Materials).csv"
"Report Written:","Monday, November 21, 2016"
"Project Path:","C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard.prj"
"Design Path:","C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard.pcb"
"Design Title:",""
"Created:","10/11/2016 10:51:27 a.m."
"Last Saved:","21/11/2016 01:26:48 p.m."
"Editing Time:","4811 min"
"Units:","mm (precision 3)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"JC3","1","1P","","SOL","","","","",""
"JC2","1","1P","","SOL","","","","",""
"CON9","1","47589-0001","","SM","","","","",""
"DR7","1","150060YS75000","","SM","","","","",""
"CON5","1","503182-1852","","SM","","","","",""
"JPWR2","1","826936-2","","SOL","","","","",""
"JPWR1","1","826936-2","","SOL","","","","",""
"JPWR3","1","826936-2","","SOL","","","","",""
"JCMOSI","1","826936-2","","SOL","","","","",""
"JCSCK","1","826936-2","","SOL","","","","",""
"JMISO","1","826936-2","","SOL","","","","",""
"JBTX","1","826936-2","","SOL","","","","",""
"JBRX","1","826936-2","","SOL","","","","",""
"JR1","1","826936-2","","SOL","","","","",""
"JR2","1","826936-2","","SOL","","","","",""
"CON6","1","826949-5","","SOL","","","","",""
"CON7","1","826949-5","","SOL","","","","",""
"JG1","1","929800-01-02","","SOL","","","","",""
"JG2","1","929800-01-02","","SOL","","","","",""
"JD1","1","929800-01-02","","SOL","","","","",""
"CON11","1","861400082LO1332LF","","DIL","","","","",""
"CON4","1","1010027182","","SM","","","","",""
"CON10","1","61300411121","","4P","","","","",""
"CON8","1","61300511121","","5P","","","","",""
"CR3","1","885012006002","10pF","SM","","","","",""
"CPWR3","1","885012106003","1uF 6.3V","SM","","","","",""
"CB1","1","885012106003","1uF 6.3V","SM","","","","",""
"U6","1","A2235-H","","SM","","","","",""
"DPWR3","1","AP1608SGC","","SM","","","","",""
"DPWR1","1","APT1608EC","","SM","","","","",""
"U8","1","AZ1117IH-3.3TRG1","","SM","","","","",""
"U4","1","BMI160","","SM","","","","",""
"QR1","1","BSS138","","SM","","","","",""
"QX1","1","BSS138","","SM","","","","",""
"QX2","1","BSS138","","SM","","","","",""
"QX3","1","BSS138","","SM","","","","",""
"CD2","1","C0603C180K5GACTU","18pF","SM","","","","",""
"LC1","1","CBMF1608T100K","10uH","SM","","","","",""
"DZR1","1","CD0603-Z5V1","5.1V 500mW","SM","","","","",""
"DR6","1","CDSU400B","","SM","","","","",""
"DG1","1","CDSU400B","","SM","","","","",""
"DG2","1","CDSU400B","","SM","","","","",""
"DR1","1","CDSU400B","","SM","","","","",""
"DR2","1","CDSU400B","","SM","","","","",""
